"","Lower.Super.Output.Area","social_isolation_pc1","Construction Services","Engineering Services","Contract Services","Research and Design","Transport, Storage and Delivery","Gambling","Sports Complex","Consumer Products","Primary, Secondary and Tertiary Education","Central and local Government","Public Transport, Stations and Infrastructure","Mid.year.Population.Estimates.All.Ages.2011","Mid.year.Population.Estimates.Aged.0.15.2011","Mid.year.Population.Estimates.Aged.16.29.2011","Mid.year.Population.Estimates.Aged.30.44.2011","Mid.year.Population.Estimates.Aged.45.64.2011","Mid.year.Population.Estimates.Aged.65..2011","Ethnic.Group.White.....2011","Ethnic.Group.Mixed.multiple.ethnic.groups.....2011","Ethnic.Group.Asian.Asian.British.....2011","Ethnic.Group.Black.African.Caribbean.Black.British.....2011","Ethnic.Group.Other.ethnic.group.....2011"
"32","E01000039",-0.119442036440902,22.7,NA,NA,NA,13,4.9,8,NA,4.7,3.1,NA,1603,322,299,368,365,249,80.2,4.4,5.2,9.7,0.4
"33","E01000040",-0.27324960033679,34.9,5.1,6.5,4,80.8,16.8,16.7,9.8,15.5,12.2,7.9,1579,379,307,379,337,177,57.4,4,17.8,18.3,2.4
"34","E01000041",-0.0210493578395291,30,2.9,3.6,3.6,49,9,13.2,5.4,13.5,4.5,5.2,1687,460,295,427,355,150,66.9,3.9,6.7,21.3,1.2
"35","E01000042",-0.0956488244431804,30.1,3.4,4.6,3.6,48,12.4,14.6,5.7,11.2,5.9,5.5,1803,517,430,420,288,148,54.3,5.3,18,20,2.4
"36","E01000043",-0.0252220970908048,32.1,4.6,5.6,4,73.1,16.4,15.1,8.5,14.7,11.1,8,1370,355,257,321,256,181,52.6,3,27.7,14.7,2
"37","E01000044",0.532198110087024,27.5,4.1,4.4,3.9,67.4,16.4,14.6,9.8,14.8,12.4,7.3,1812,460,385,466,340,161,43.5,6.6,26.7,22,1.3
"38","E01000045",0.0575614468762883,34.8,3.1,4.2,3.6,63.8,9.1,15,5.7,14.7,3.8,5.1,1659,456,340,387,334,142,59.1,6.1,8.9,24.4,1.6
"39","E01000046",-0.101874403641026,25.1,2,3,4.2,45.5,11.4,13.4,5.8,13.3,4,5.2,1785,502,293,449,381,160,73.6,3.5,6.1,15.1,1.6
"40","E01000048",0.127194453135432,32.2,6.8,5.8,4.4,90.2,16.1,18.9,15.5,15.5,13.3,5.4,1795,655,356,464,247,73,37.1,5.9,13,41.5,2.5
"41","E01000049",0.104639154155798,35.6,7,7.2,4.9,101.4,16.2,20.6,16.7,15.9,13.6,5.4,1832,653,330,475,256,118,37.5,6.8,14.7,37.3,3.7
"42","E01000050",0.17832241972667,40,6.9,7.3,4.2,96.2,19.4,21.5,15.2,17,13.8,7.8,1678,451,369,374,294,190,38.5,5.2,35,18.1,3.2
"43","E01000051",0.0251925268448435,33.5,6.7,5.6,4.1,84.2,18.6,22,14.7,16.1,14.2,7.1,1945,657,414,530,294,50,35.6,5,16.9,37.7,4.8
"44","E01000052",0.331746033500403,32.7,4.7,7.1,4.9,111.4,16.7,16.6,15.7,15.6,12.6,6.2,2039,530,400,522,385,202,46.5,4.9,25.5,21.5,1.6
"45","E01000053",-0.256822306706518,26,1.4,2.8,1.9,30.6,11.5,18.4,7.5,16.5,6.9,5,1493,371,280,367,316,159,60.5,4,7.9,27,0.5
"46","E01000054",-0.257174532979973,22.1,1.3,2.9,3.9,45.3,13.6,15.6,8,17.3,7.3,4.4,1731,459,292,409,371,200,71.2,2.9,6.3,18.8,0.7
"47","E01000055",-0.078659720602829,22.8,2,3.3,5.2,47.3,12.7,14.4,7.2,16,6.3,5.7,1564,388,319,361,355,141,69.7,4.1,9,16.7,0.5
"48","E01000056",-0.253447019077504,24.6,1.2,3.5,2,40.7,12.2,16.1,7.1,15.5,7,4.5,1594,447,296,399,289,163,67.6,3.9,7.7,19.8,1.1
"49","E01000057",-0.0398909793079482,25,1.9,3.2,6.1,47.1,13.7,18.1,7.7,17.7,6,4.5,1505,440,274,355,295,141,64.9,5,5.7,22.7,1.6
"50","E01000058",0.0373117041869724,28.8,1.5,2.3,3.4,32,13.5,20,8.6,19.6,8.1,4,1864,491,366,476,373,158,59.9,5,10.3,23.3,1.5
"51","E01000059",-0.486507647462366,29.7,1.9,3.1,2.1,30.5,12.6,20,8.2,17.4,7.2,4.4,1581,407,276,357,357,184,73.5,4.1,4.1,17.5,0.8
"52","E01000060",-0.318948023302673,40.1,2,5.4,5.4,28.2,9.9,17.5,7.8,12.4,9.4,3.5,1814,499,305,416,350,244,65.9,2.8,7.1,23.2,0.9
"53","E01000061",-0.38572115183557,36.6,NA,7,5.3,33.8,8.8,16.5,7.2,11.1,8.7,1.6,1792,589,494,375,270,64,64.5,4.4,5,25,1.2
"54","E01000062",-0.351312203895849,44,2,6.2,8.1,34.1,15.4,20,11.5,17.5,11.1,4.6,1954,484,354,406,442,268,64.4,3.2,8.4,23.9,0.1
"55","E01000063",-0.412049101882975,52.9,3.8,12.2,9.7,50.6,17.9,20.1,11.8,20.8,11.2,3.4,1629,423,309,367,337,193,73.7,3.3,7.8,14.3,0.9
"56","E01000064",-0.444419901746686,43,1.4,4.7,5.7,26.1,11.2,20.8,8.1,14.1,10.4,4.6,1897,455,370,380,401,291,67.4,3.4,5,23.8,0.4
"57","E01000065",-0.609182923968736,49.2,2.3,9,8.9,39.2,16.9,20.3,13,20.8,12,4,1734,393,304,402,346,289,71.3,3.2,6.3,18,1.3
"58","E01000066",0.25856436953588,33.2,6,4.1,1,25,9.8,24,4.4,14.9,6.3,5.5,1941,492,416,411,415,207,47.7,4,36.8,9.3,2.3
"59","E01000067",0.258375853187279,38.1,6.8,5.1,1.6,31.8,16.8,28.1,6.2,19.4,10.9,7.2,1985,453,440,409,453,230,46.4,2.4,36.4,12.8,1.9
"60","E01000068",0.704026121875117,34.9,5.8,6.7,1.6,43.5,17.7,29.1,10.6,18.5,14.2,7,1605,334,443,303,355,170,34.6,2.1,53.8,7.7,1.8
"61","E01000069",0.535963550467481,32.8,6.2,5.4,2.9,40.9,18.1,18.9,8,16.3,13.7,7.9,1777,410,419,346,421,181,45.9,4.7,41.6,6.1,1.8
"62","E01000070",0.504071697507707,37.2,5.6,5.4,NA,36.5,18.1,28.1,9.6,19.6,13.8,7.4,1987,412,470,417,409,279,42,5.9,43,7.6,1.5
"63","E01000071",0.431943117713732,29,5.4,4.4,2.6,41.1,15.3,16.3,6.2,13.7,9.6,7.4,2272,540,506,528,427,271,38.5,4.6,41.4,12.5,3.1
"64","E01000072",-0.376769976031552,24.4,4.4,4.8,4.3,40.9,7.2,11.9,4.2,12.1,2.3,4.3,2006,547,446,437,355,221,66.4,4.6,8.7,19.1,1.1
"65","E01000073",-0.293890923597651,27.3,4.2,4.1,NA,29.8,8.6,18.2,3.1,14.2,3.4,2.2,1618,437,279,408,309,185,70.8,4.1,9.1,14.9,1.1
"66","E01000074",-0.305699679112309,28.9,3.8,3.9,5.5,36.9,9.2,17.1,4.6,17.4,3.3,2,1577,438,305,363,309,162,72,5.4,4.9,16.5,1.1
"67","E01000075",-0.329671607712316,36.1,2.8,4.5,5.1,33.3,16,21.2,8,21.6,5,4,1738,436,308,385,395,214,73,4.8,7.9,13.7,0.5
"68","E01000076",-0.238323055002968,26.2,3.6,4,6,41.9,9.9,16.4,6.7,15.8,4.6,3.4,1994,607,347,468,390,182,64.3,3.2,10.5,20.8,1.2
"69","E01000077",-0.343187326991726,49.2,3.7,7,6.1,36.8,19.2,25.5,9.6,24,4.4,4.6,1452,342,277,377,304,152,67.1,2.1,9.5,20.4,0.8
"70","E01000078",-0.334557738297609,55.6,4.1,6.7,8.4,44.5,22.5,22.2,13.8,23.4,6.6,5.6,1681,447,372,336,357,169,69.1,4.6,9.7,15.4,1.2
"71","E01000079",-0.463466976908813,44.4,1.7,4.7,8.7,38.3,20.3,23.6,11.7,24.4,9.6,5.6,1553,417,277,313,331,215,69.1,3.3,9.1,17.8,0.7
"72","E01000080",-0.41343223639332,47,2.8,6.7,7.4,37.9,20.3,23.6,10.8,24.1,5.1,4.8,1565,398,310,359,321,177,69.2,5.1,5.8,18.6,1.3
"73","E01000081",-0.356795094767517,51.7,1.7,7.5,9.2,41.5,19.1,21.8,12.3,22.6,8.5,5.2,1698,422,319,351,414,192,68.3,3.3,6.9,20,1.5
"74","E01000082",-0.310617948992398,51.6,3.7,8.9,9.1,47.6,19.6,19.5,12.7,22,9.1,5,1686,455,300,429,341,161,71,3.5,7.5,17.1,0.9
"75","E01000083",-0.322786094717681,50,6,7.1,6.7,44.1,22.9,23.6,12.5,23.2,4.3,5.3,1703,459,310,405,331,198,67.8,4.4,9.3,17,1.5
"76","E01000084",-0.154204863516548,42.7,1,3.7,5.3,32.3,16.7,22.3,10.9,22,8.6,6.2,1358,367,247,321,290,133,70.4,3.9,7.4,17.6,0.7
"77","E01000085",-0.22500539196252,39.2,1,3.3,5.1,29.6,16.6,21.1,9.8,22.8,9.3,6.7,1720,479,340,353,375,173,68.8,3.4,5.6,17.6,4.5
"78","E01000086",-0.193149079799086,38.7,1.3,3.5,3.6,27.4,14.8,20.3,10.4,21,7.8,6.2,1439,380,286,315,312,146,66.2,3.6,8.5,20.8,0.8
"79","E01000087",-0.27025486781086,19.1,NA,2.8,NA,22.9,NA,NA,NA,NA,NA,2.9,1348,341,259,307,312,129,65.6,4,5.1,24.5,0.7
"80","E01000088",0.0912385134486195,22,NA,2.1,2.4,24.2,13,14.8,6.9,13.9,8,4.3,1840,467,349,414,365,245,53,3.2,12.5,30.5,0.8
"81","E01000089",0.210072427334711,17.8,NA,1,1.8,20.7,12.8,12.4,6.2,11.5,6.7,4.5,1676,459,346,332,394,145,59.5,5.5,5.8,28.1,1.1
"82","E01000090",0.523259149193721,NA,NA,1.2,NA,12.6,NA,NA,NA,NA,NA,NA,1594,457,302,340,354,141,51.1,3.7,13.1,29.2,3
"83","E01000091",-0.228952896976567,24.8,4.3,7,3.6,94.8,2.4,6.4,8.9,5.4,1,NA,1722,549,336,376,305,156,49.8,3.8,14.1,30.4,1.9
"84","E01000092",0.279774973469643,19.6,NA,5.9,2.9,77.1,NA,NA,8.4,7.1,NA,NA,2694,751,567,691,457,228,41.5,4.7,21.2,29.7,3
"85","E01000093",-0.303089231750141,30.6,4,6.3,4.8,98.9,7.8,10.6,10.1,8.5,3,NA,1564,442,353,384,276,109,51.1,5.8,10.2,31.4,1.5
"86","E01000094",0.951503287426924,24.3,3.6,6.7,3.1,90.1,2.3,5.7,8.3,6.1,NA,NA,1338,402,267,478,165,26,34.2,6.7,15.3,42.6,1.1
"87","E01000095",0.427682084034835,8.9,NA,4.2,NA,29.4,NA,NA,NA,5,NA,NA,1584,468,288,435,276,117,51.1,3.6,11.9,31.8,1.6
