Lower Super Output Area,Names,Mid year Population Estimates;All Ages;2011,Mid year Population Estimates;Aged 0 15;2011,Mid year Population Estimates;Aged 16 29;2011,Mid year Population Estimates;Aged 30 44;2011,Mid year Population Estimates;Aged 45 64;2011,Mid year Population Estimates;Aged 65+;2011,Mid year Population Estimates;Working age;2011,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Household Composition;% Lone parent household;2011,Household Composition;% One person household;2011,Ethnic Group;White (%);2011,Ethnic Group;Mixed/multiple ethnic groups (%);2011,Ethnic Group;Asian/Asian British (%);2011,Ethnic Group;Black/African/Caribbean/Black British (%);2011,Ethnic Group;Other ethnic group (%);2011,Ethnic Group;BAME (%);2011,Tenure;Social rented (%);2011,Tenure;Private rented (%);2011,Dwelling type;Household spaces with no usual residents (%);2011,House Prices;Median Price (£);2011,Adults in Employment;% of households with no adults in employment: With dependent children;2011,Lone Parents;Lone parent not in employment %;2011,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Qualifications;% Highest level of qualification: Level 1 qualifications;2011,Qualifications;% Highest level of qualification: Level 2 qualifications;2011,Qualifications;% Highest level of qualification: Apprenticeship;2011,Qualifications;% Highest level of qualification: Other qualifications;2011,Health;Day to day activities limited a lot (%);2011,Health;Day to day activities limited a little (%);2011,Health;Fair health (%);2011,Health;Bad or Very Bad health (%);2011,Car or van availability;No cars or vans in household (%);2011,Car or van availability;1 car or van in household (%);2011,Public Transport Accessibility Levels (2014);% 0 1 (poor access),Public Transport Accessibility Levels (2014);% 2 3 (average access),"Household Income, 2011/12;Mean Annual Household Income estimate (£)",pop_density_2011
E01000100,Barking and Dagenham 004B,1656,456,284,399,338,179,1021,1653,21.2,20,25.2,70.2,4,10.7,13.7,1.5,29.8,33.7,12.2,2.1,-160500,10,51.1,12.7,30.3,15.6,17.3,2.6,8.7,9.1,8.2,14,6.4,37.4,43.9,64.3,35.7,-32848,78.11320755
E01000101,Barking and Dagenham 004C,1519,368,276,362,347,166,985,1513,16.4,17.8,25.4,70.6,2.8,9.7,15.9,1,29.4,36,11.8,3.2,-159500,10,56.3,8.7,32.2,16.6,13.7,2.2,8.1,10.6,8.8,12.6,9.2,37,45.1,11.3,88.7,-31902,92.62195122
E01000109,Barking and Dagenham 004D,1691,411,345,382,374,179,1101,1686,37.5,18.3,24.5,60.6,4.2,18.4,16,0.8,39.4,15.3,16.8,2.3,-167500,8,51.3,10,25.3,17,16.2,2.4,9.1,6.6,6.8,12.2,4.6,29.4,46.4,64.1,35.9,-39617,45.09333333
E01000114,Barking and Dagenham 004E,2093,543,391,476,448,235,1315,2090,25.6,17.7,23.1,58.9,3.8,13.8,22.9,0.7,41.1,10.2,22.4,4.3,-180000,8,44.3,6.5,27.2,14.1,17.3,3,8.3,7.3,8.2,12.2,5.2,29,44.3,47.9,52.1,-38957,81.7578125
E01000033,Barking and Dagenham 006A,1366,365,273,277,294,157,844,1361,14.5,20.8,29.6,76,3.8,3.7,15.9,0.6,24,52,5.8,1.8,-172000,12,60.3,13.2,35.5,15.5,17.9,2.4,5.6,7.9,9.6,14.7,6.5,38.3,47.3,99.3,0.7,-30600,94.20689655
E01000060,Barking and Dagenham 006B,1814,499,305,416,350,244,1071,1809,55,19.4,37.1,65.9,2.8,7.1,23.2,0.9,34.1,46.1,9.1,2.7,-158000,10,54.5,12,31,15.9,14.7,2.4,7.6,8.5,9.6,13.9,5.6,41.8,44,60.6,39.4,-32337,32.98181818
E01000061,Barking and Dagenham 006C,1792,589,494,375,270,64,1139,1776,61.1,34.4,28.7,64.5,4.4,5,25,1.2,35.5,84.9,3.7,1.3,-116500,23,61.5,18.6,30.7,20.1,16.9,1.1,6.6,6.5,6.9,11.9,5.3,63,29,0.2,99.8,-24440,29.3289689
E01000062,Barking and Dagenham 006D,1954,484,354,406,442,268,1202,1952,22.1,18.3,30.2,64.4,3.2,8.4,23.9,0.1,35.6,33.5,11.8,1.4,-163000,9,52.9,12.3,31.3,15.6,14.3,3.3,6.7,9.9,9,13.1,6.5,36,45.7,77.2,22.8,-34748,88.41628959
E01000064,Barking and Dagenham 006E,1897,455,370,380,401,291,1151,1893,20.9,20.7,27.9,67.4,3.4,5,23.8,0.4,32.6,29.5,16.5,5.6,-142500,11,54.9,9.9,32.9,16.3,15.2,3.3,6.7,13.5,7.9,17.6,6.2,38.8,43.9,92.6,7.4,-32736,90.76555024
E01000065,Barking and Dagenham 007A,1734,393,304,402,346,289,1052,1736,23.4,15.4,41.5,71.3,3.2,6.3,18,1.3,28.7,46.1,15.2,1.1,-158750,8,42.2,11.4,35.7,15.2,13.3,1.5,9.5,13.7,10.5,15.6,10.6,47.5,38.8,24,76,-31645,74.1025641
E01000078,Barking and Dagenham 007B,1681,447,372,336,357,169,1065,1666,17.6,23.9,28.7,69.1,4.6,9.7,15.4,1.2,30.9,39.4,14.5,0.9,-155748,17,75.2,12,32.2,17,16.3,1.9,7.8,8.6,8.5,13.6,6.3,39.4,43.1,11.1,88.9,-30616,95.51136364
E01000080,Barking and Dagenham 007C,1565,398,310,359,321,177,990,1556,23.1,20.5,28.8,69.2,5.1,5.8,18.6,1.3,30.8,35.9,14.8,1.2,-158750,10,51.1,13.3,31.9,15.9,17.6,1.8,8.6,10.7,9.2,13.4,8.3,39.9,44.9,22.5,77.5,-31995,67.74891775
E01000081,Barking and Dagenham 007D,1698,422,319,351,414,192,1084,1688,18.6,19.4,26.2,68.3,3.3,6.9,20,1.5,31.7,30.7,14.2,0.9,-169000,11,55.2,8.8,32.4,16.1,18.5,2.5,6.9,8.9,8.5,13.1,6.6,31.3,49.4,58.3,41.7,-33174,91.29032258
E01000082,Barking and Dagenham 007E,1686,455,300,429,341,161,1070,1683,16.1,17.6,33.2,71,3.5,7.5,17.1,0.9,29,39.7,12.6,1,-155000,10,50.6,10.5,29.7,17.4,17.4,2,7.4,8.9,8.9,13.2,5.9,36.6,46.9,63.5,36.5,-33237,104.7204969
E01000083,Barking and Dagenham 007F,1703,459,310,405,331,198,1046,1700,18,23.8,22.7,67.8,4.4,9.3,17,1.5,32.2,35.3,14.9,1.1,-169000,13,55,10.6,31.9,15.4,16.7,1.9,8,10.2,8.7,13.9,7.2,37.5,46.7,4.4,95.6,-32008,94.61111111
E01000102,Barking and Dagenham 007G,1549,386,269,364,333,197,966,1540,25.3,19,29.4,70.8,4.9,7.9,15.5,0.9,29.2,39.7,11.2,1.4,-160000,10,50,11.3,32,13.5,15,1.6,8.7,11.2,7.7,14,7.3,36.8,45.9,31.4,68.6,-33670,61.22529644
