Lower Super Output Area,Names,Mid year Population Estimates;All Ages;2011,Mid year Population Estimates;Aged 0 15;2011,Mid year Population Estimates;Aged 16 29;2011,Mid year Population Estimates;Aged 30 44;2011,Mid year Population Estimates;Aged 45 64;2011,Mid year Population Estimates;Aged 65+;2011,Mid year Population Estimates;Working age;2011,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Household Composition;% Lone parent household;2011,Household Composition;% One person household;2011,Ethnic Group;White (%);2011,Ethnic Group;Mixed/multiple ethnic groups (%);2011,Ethnic Group;Asian/Asian British (%);2011,Ethnic Group;Black/African/Caribbean/Black British (%);2011,Ethnic Group;Other ethnic group (%);2011,Ethnic Group;BAME (%);2011,Tenure;Social rented (%);2011,Tenure;Private rented (%);2011,Dwelling type;Household spaces with no usual residents (%);2011,House Prices;Median Price (£);2011,Adults in Employment;% of households with no adults in employment: With dependent children;2011,Lone Parents;Lone parent not in employment %;2011,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Qualifications;% Highest level of qualification: Level 1 qualifications;2011,Qualifications;% Highest level of qualification: Level 2 qualifications;2011,Qualifications;% Highest level of qualification: Apprenticeship;2011,Qualifications;% Highest level of qualification: Other qualifications;2011,Health;Day to day activities limited a lot (%);2011,Health;Day to day activities limited a little (%);2011,Health;Fair health (%);2011,Health;Bad or Very Bad health (%);2011,Car or van availability;No cars or vans in household (%);2011,Car or van availability;1 car or van in household (%);2011,Public Transport Accessibility Levels (2014);% 0 1 (poor access),Public Transport Accessibility Levels (2014);% 2 3 (average access),"Household Income, 2011/12;Mean Annual Household Income estimate (£)",pop_density_2011
E01000086,Barking and Dagenham 013F,1439,380,286,315,312,146,913,1431,14,18.5,23.8,66.2,3.6,8.5,20.8,0.8,33.8,38.4,11.8,1.9,-160000,9,58.8,10.4,30.5,15.9,16.4,2.3,8.1,8.5,8,14.5,5.5,36.6,46.5,0,100,-34128,102.7857143
E01000103,Barking and Dagenham 014A,1694,445,371,398,350,130,1119,1685,70.1,24,22.8,59.4,4.1,6.4,28.1,2.1,40.6,36.2,18.2,2.1,-167500,13,61.9,12.8,29.6,16.4,14.9,1.8,8.6,7.8,7.2,10.9,6.1,35.7,46.7,77.9,22.1,-30852,24.16547789
E01000104,Barking and Dagenham 014B,1796,500,404,403,350,139,1157,1781,22,20.8,38,63.6,3.8,5.8,25.5,1.2,36.4,57.5,11.1,2.4,-134925,12,54.8,15.7,28.3,18.1,19.5,2.7,7.5,7.5,7.4,10.9,5.9,46,42.1,8.6,91.4,-29854,81.63636364
E01000105,Barking and Dagenham 014C,2148,543,439,486,412,268,1337,2129,22.1,20.1,36,67.3,5.3,5.1,21.5,0.8,32.7,58,11.6,1.5,-154500,10,48.6,15.3,35.1,15.4,15.1,2.1,7.3,11.3,8.6,16.5,6.2,53.1,36.2,6.9,79.4,-29803,97.19457014
E01000106,Barking and Dagenham 014D,1989,508,410,461,392,218,1263,1968,21.9,18.7,42.9,61.9,4.7,5.6,26.8,0.9,38.1,47.1,22.7,1.7,-105000,11,60.8,11.7,28.2,15.4,16.6,3.2,8.8,9.4,8.9,15.4,7,53.9,36.4,76.4,23.6,-29732,90.82191781
E01000007,Barking and Dagenham 015A,1417,349,413,424,173,58,1010,1391,20,12.1,41.3,31.6,6.3,32.1,28,2,68.4,40.7,36.3,2.4,-212000,6,52.4,11.9,15.2,13.7,12.4,0.7,16.6,5.5,5,9.8,5,62.9,30.2,0,0,-30822,70.85
E01000008,Barking and Dagenham 015B,1569,513,406,392,217,41,1015,1544,19.5,22.8,24.8,31.4,5.4,22.6,37.2,3.4,68.6,66.6,15.2,2.4,-140000,14,55.4,18,21.1,14.9,13.1,1.2,17.2,5.1,4.9,9.6,3.7,58.5,33.4,41.4,43.8,-28359,80.46153846
E01000010,Barking and Dagenham 015C,2889,662,951,892,297,87,2140,2840,35.2,12.7,23.4,28.6,5.2,42.4,20.4,3.3,71.4,26.1,49.2,6.4,-151475,8,57.8,9.7,12.2,7.7,9.7,1.2,16.6,3.1,4,8.3,3.1,74.2,22.6,0,0,-37277,82.07386364
E01000012,Barking and Dagenham 015D,1943,584,483,590,229,57,1302,1901,13.9,20.9,23.6,28.1,6.2,35.5,27.9,2.3,71.9,22.1,47,4.4,-170000,14,54.3,10.7,14.4,12.2,11.9,1.3,18,4.1,4.6,8.2,3.4,52.9,40.4,37.3,13.4,-32617,139.7841727
E01000006,Barking and Dagenham 016A,1731,401,416,475,304,135,1195,1703,14.7,9.9,17.9,32.7,3.4,50.6,10.4,2.9,67.3,3.3,32.8,2.7,-240500,6,51.5,9.5,18.2,11.8,12.9,1.5,13.8,5.2,6.7,9.7,4.2,34.3,45.9,0,10.6,-46141,117.755102
E01000009,Barking and Dagenham 016B,1798,317,524,449,328,180,1301,1773,12.8,10,29.9,23.8,3.5,57.1,12.9,2.8,76.2,20.5,38.1,3.2,-226500,6,58.1,10,18.6,10.2,9.4,0.8,17.2,8.6,9.2,12.2,6.8,52.7,37.1,0,0,-38261,140.46875
E01000011,Barking and Dagenham 016C,1655,363,520,405,277,90,1202,1634,9.2,11.2,15.3,21.2,1.7,65.5,8.8,2.9,78.8,7.7,37.9,1.9,-214000,8,56.2,10.2,18,12.4,13.3,1,17.3,5.5,6.7,12.4,5,40.7,41.1,0,0,-33133,179.8913043
E01000044,Barking and Dagenham 016D,1812,460,385,466,340,161,1191,1798,17.1,13.4,24.2,43.5,6.6,26.7,22,1.3,56.5,11.4,27.5,2.2,-183000,9,39.7,9.2,22.6,14.9,13,2.2,15.6,7.5,8.2,12.8,6,41.3,43.7,35.1,58.6,-35327,105.9649123
E01000068,Barking and Dagenham 016E,1605,334,443,303,355,170,1101,1590,34,10.6,18.2,34.6,2.1,53.8,7.7,1.8,65.4,2.4,20.1,1.9,-260000,2,31.8,6,22.5,13.5,12.3,2,12,6.3,7,11.7,4,25.1,42.2,8.8,42.2,-50176,47.20588235
E01000041,Barking and Dagenham 017A,1687,460,295,427,355,150,1077,1682,15.3,18,24.5,66.9,3.9,6.7,21.3,1.2,33.1,36.2,12.9,0.7,-160000,11,53.1,11.1,31.7,17.4,14.3,1.8,10,8,7.6,11,5.8,32.5,46.8,53.9,46.1,-33990,110.2614379
E01000042,Barking and Dagenham 017B,1803,517,430,420,288,148,1138,1788,23.1,22.4,31.5,54.3,5.3,18,20,2.4,45.7,54.5,17.1,0.7,-153500,16,67.5,14.9,30.2,15.4,14.1,1.6,10.6,8.3,7.4,12.6,7,54.5,34.6,24.6,75.4,-30690,78.05194805
E01000045,Barking and Dagenham 017C,1659,456,340,387,334,142,1061,1650,29.8,23.3,22.4,59.1,6.1,8.9,24.4,1.6,40.9,38.9,20.3,0.2,-139500,13,55.7,10.3,26,15.7,15.4,1.6,9.6,7.5,7.7,13.6,5.7,41.4,44.9,36.4,63.6,-34783,55.67114094
E01000046,Barking and Dagenham 017D,1785,502,293,449,381,160,1123,1779,15.6,21.6,22.2,73.6,3.5,6.1,15.1,1.6,26.4,35.2,13.8,0.6,-158000,10,46.8,10.7,30,17.7,14.1,2,8.3,7.6,8.7,13.6,5.7,38.5,41.9,47.3,52.7,-32992,114.4230769
E01000072,Barking and Dagenham 017E,2006,547,446,437,355,221,1238,1991,52,22.3,30.9,66.4,4.6,8.7,19.1,1.1,33.6,44.8,20.3,1,-172750,14,60.7,11.9,32.3,16.8,14.8,3.1,8,10.4,8.8,13.7,6.7,45,41.3,100,0,-29631,38.57692308
E01000054,Barking and Dagenham 018A,1731,459,292,409,371,200,1072,1718,17.1,18.2,23.4,71.2,2.9,6.3,18.8,0.7,28.8,37,13.2,2.6,-159500,10,53.1,10.3,33.6,14.3,18.5,1.7,7.5,8.6,8.3,13.7,6.6,32.9,47.5,24.6,75.4,-34017,101.2280702
E01000055,Barking and Dagenham 018B,1564,388,319,361,355,141,1035,1553,14.6,18.9,23,69.7,4.1,9,16.7,0.5,30.3,33.9,13,3.3,-152000,10,62,11,27.6,17.5,16.4,2.3,9.1,7.3,8.8,13.3,5.5,33.9,47.1,16.9,83.1,-34378,107.1232877
E01000056,Barking and Dagenham 018C,1594,447,296,399,289,163,984,1584,24.4,24.4,23.2,67.6,3.9,7.7,19.8,1.1,32.4,42.2,15.7,2.1,-155000,12,52.4,11.7,32.2,15.1,16.6,2,8.6,10.2,8.3,14.2,5.9,34.6,47.1,98.9,1.1,-32965,65.32786885
E01000058,Barking and Dagenham 018D,1864,491,366,476,373,158,1215,1849,18.2,19,27.2,59.9,5,10.3,23.3,1.5,40.1,33.3,16.7,0.4,-168000,11,56.4,8.9,27,15.3,15.4,2.1,9.8,7.2,8.3,11.7,5.8,36.8,48.8,17.9,82.1,-34157,102.4175824
E01000095,Barking and Dagenham 018E,1584,468,288,435,276,117,999,1572,229.5,18.8,22.4,51.1,3.6,11.9,31.8,1.6,48.9,26.8,20,0.5,-159750,9,45.6,10.1,23.2,16.6,13.2,1.6,9.9,6.7,5.9,9.6,4.4,30.4,47.5,100,0,-41482,6.901960784
E01000040,Barking and Dagenham 019A,1579,379,307,379,337,177,1023,1569,17.1,20.2,29.4,57.4,4,17.8,18.3,2.4,42.6,49.5,14.8,2.3,-173000,11,48.5,10.7,30.9,14.8,14.3,2.2,9.6,9.2,9.4,15.9,7.8,47.3,39.5,9.5,90.5,-32533,92.33918129
E01000043,Barking and Dagenham 019B,1370,355,257,321,256,181,834,1358,26.6,15.2,25.4,52.6,3,27.7,14.7,2,47.4,33.6,13.7,1.3,-225000,8,43.2,11.1,31.8,14,12.1,1.8,11,9.5,8.7,13.6,7.4,36.7,43.8,47.3,52.7,-33452,51.5037594
E01000050,Barking and Dagenham 019C,1678,451,369,374,294,190,1037,1661,13.8,18.2,31.2,38.5,5.2,35,18.1,3.2,61.5,38.9,19.7,2.7,-188500,10,49.4,11.8,28,10,11.6,1.7,13.3,10.2,7.7,14,7.5,47.6,42.9,0,58.6,-32049,121.5942029
E01000052,Barking and Dagenham 019D,2039,530,400,522,385,202,1307,2014,20,19.5,29.6,46.5,4.9,25.5,21.5,1.6,53.5,27.3,21.6,3.4,-149500,9,49.5,8.7,25.6,13.1,11.6,1.6,13.5,8.1,8,13.4,6.6,43.7,45.4,9,91,-32775,101.95
E01000092,Barking and Dagenham 019E,2694,751,567,691,457,228,1715,2674,264.5,18.8,26.3,41.5,4.7,21.2,29.7,3,58.5,34.8,19.3,1.8,-175000,10,55.8,13.5,22.8,12.7,14.9,1.9,11.8,8.1,7,11.8,5.7,40.3,44.2,55.8,44.2,-37556,10.1852552
E01000053,Barking and Dagenham 020A,1493,371,280,367,316,159,963,1485,18.1,16.3,37.4,60.5,4,7.9,27,0.5,39.5,37.1,25,1.2,-112000,9,60,11.4,28.8,17.7,13.4,1.8,10.2,11.8,9.2,14.3,8.4,45.7,41.7,59.7,40.3,-31904,82.48618785
E01000087,Barking and Dagenham 020B,1348,341,259,307,312,129,878,1341,37.3,20.3,26.2,65.6,4,5.1,24.5,0.7,34.4,32.6,19.9,1.8,-160000,11,48.7,9.9,30.5,16.3,18.8,2.1,7.7,10,8.1,13.8,6.9,38.8,42.3,41.9,58.1,-32352,36.13941019
E01000088,Barking and Dagenham 020C,1840,467,349,414,365,245,1128,1828,22.6,17.8,26.3,53,3.2,12.5,30.5,0.8,47,11.6,27,2.4,-159000,9,48.9,8.9,30.6,12.8,15.1,2.3,8.8,10.2,7.1,14.2,5.2,35.6,47.5,59,41,-37771,81.4159292
E01000089,Barking and Dagenham 020D,1676,459,346,332,394,145,1072,1666,14.6,24,21.6,59.5,5.5,5.8,28.1,1.1,40.5,7.8,22.4,5.3,-150000,12,50,9,25.4,17.4,16.4,2.2,6.8,7.5,7.1,11.5,4.1,33,44.6,68.7,31.3,-34417,114.7945205
E01000090,Barking and Dagenham 020E,1594,457,302,340,354,141,996,1584,195.5,21.1,20,51.1,3.7,13.1,29.2,3,48.9,7.3,26.6,7.3,-150000,9,47.1,9,25.3,15.2,14.4,2,10,6.6,6.4,11,4.5,33.9,46.8,39.4,60.6,-36849,8.153452685
E01000048,Barking and Dagenham 021B,1795,655,356,464,247,73,1067,1783,6.5,26.4,29.8,37.1,5.9,13,41.5,2.5,62.9,81.5,10.6,0.8,-129000,19,59.9,18.7,28.5,14.3,14.8,1.3,14.2,6.2,6.3,9.1,6.3,60.2,34.2,41.9,58.1,-24121,276.1538462
E01000049,Barking and Dagenham 021C,1832,653,330,475,256,118,1061,1820,21.2,25.5,26,37.5,6.8,14.7,37.3,3.7,62.5,66.7,9.6,0.3,-135000,18,65.7,17.1,29.2,12.4,13.8,1,12.2,6.4,7.4,11.8,5.2,54,40,37.8,62.2,-27743,86.41509434
E01000051,Barking and Dagenham 021D,1945,657,414,530,294,50,1238,1927,6.7,25.5,32.4,35.6,5,16.9,37.7,4.8,64.4,76.1,8.4,0.7,-137000,21,67.3,17.9,26.5,12.9,14.8,1.2,12.5,6.4,7.6,12.3,5.7,60.7,35,0,56.8,-23806,290.2985075
E01033587,Barking and Dagenham 021E,1665,483,398,543,194,47,1135,1630,26.6,21.6,26.9,43.3,4.4,21.4,28.3,2.5,56.7,39,34.5,0.6,-135000,13,50.4,12.4,17.2,12.3,10.5,0.9,15.6,6.1,4.9,9.9,4.7,57.7,36,26,74,-31535,62.59398496
E01033588,Barking and Dagenham 021F,1636,524,322,504,210,76,1036,1617,14,25.6,25.1,38.3,6.2,18.9,33.5,3.2,61.7,50,24.9,1,-156000,13,49.6,12.2,23.2,11.5,11.1,0.8,15.5,6.1,6.2,10,4.7,54.2,40.5,50.8,45.7,-31161,116.8571429
E01000091,Barking and Dagenham 022A,1722,549,336,376,305,156,1017,1714,24.6,22.3,30.8,49.8,3.8,14.1,30.4,1.9,50.2,55.3,14.7,2,-171250,15,61.9,13.3,32,15.7,13.7,2.5,10.4,7.4,9.9,14.4,6.3,48.3,40.1,91.9,8.1,-27765,70
E01000093,Barking and Dagenham 022B,1564,442,353,384,276,109,1013,1547,29.4,19.2,38.3,51.1,5.8,10.2,31.4,1.5,48.9,57.6,15,1.7,-178500,12,54.5,13.8,27.4,16.2,14.3,2.2,10.8,9.2,9.9,14.5,8.3,53.7,37.9,85.5,14.5,-28561,53.19727891
E01000094,Barking and Dagenham 022C,1338,402,267,478,165,26,910,1326,60.3,20.7,27.9,34.2,6.7,15.3,42.6,1.1,65.8,24.8,27.1,1.1,-160000,13,53.6,9.9,12.7,11.8,14,2.1,11.7,3.8,3.5,6.6,3.4,37.1,49.7,87.6,12.4,-39146,22.18905473
E01000096,Barking and Dagenham 022D,1903,658,424,434,288,99,1146,1895,60.2,30.4,22.8,43.8,4.4,9.6,40.4,1.8,56.2,66.2,10.5,1.1,-165000,20,65.2,15.4,25,19.1,16.7,1.7,9.6,6.1,7.5,12.5,5,51.3,41.3,90.5,9.5,-27221,31.61129568
E01000019,Barking and Dagenham 023A,1410,378,264,305,326,137,895,1407,18.4,23.6,22.4,55.7,5,21.1,15.1,3.1,44.3,25,18.1,1.6,-170000,11,54.2,13.4,28.7,15.3,16.5,2.1,9.1,8,9.4,13.8,6.8,37.5,40.9,39.8,60.2,-33770,76.63043478
E01000020,Barking and Dagenham 023B,1843,475,329,471,350,218,1150,1834,18.7,16.9,29.4,65,3.8,11.3,18.7,1.1,35,31.8,14.5,2,-155000,9,48.9,11.4,29.6,14.7,14.8,2.7,8,10,8.8,11.9,8.6,33.5,46.8,3.6,96.4,-33995,98.55614973
E01000097,Barking and Dagenham 023C,1679,409,275,390,307,298,972,1683,17.9,15.7,36,68.6,4.4,13.5,11.9,1.6,31.4,45.3,13.7,1.3,-196500,8,48.9,9.2,36.7,15.6,13.3,1.7,6.8,12.6,9,14.1,9.4,43.5,41.5,0,92.4,-33008,93.79888268
E01000098,Barking and Dagenham 023D,1752,468,345,407,372,160,1124,1746,17.5,22.7,23.5,60.9,5.4,17.6,15.1,1,39.1,35.4,20.2,1.6,-207000,12,45.3,13.6,30.5,16.5,15.9,1.6,9.4,8.6,9.1,13.6,7,35,45.8,0,100,-32143,100.1142857
E01000099,Barking and Dagenham 023E,1736,451,329,406,359,191,1094,1732,31,19.1,24.6,70.3,4.8,11.4,12.5,0.9,29.7,33.2,13.7,7.1,-205000,10,49.4,11,30.9,17.1,13.6,2.4,8.2,9.4,7.6,14.2,6.5,34.5,44.6,1.8,98.2,-35178,56
E01032580,Barking and Dagenham 023F,1361,360,334,331,239,97,904,1354,12.8,22.7,22.1,47.9,3.6,31.1,15.2,2.2,52.1,30.6,31.6,2.3,-176500,13,55.7,10.6,21.8,14.6,14,1.8,15.4,6.6,8.3,11.6,4.9,34,45,0,100,-32535,106.328125
