Household.Composition...Lone.parent.household.2011,Household.Composition...One.person.household.2011,Tenure.Social.rented.....2011,Tenure.Private.rented.....2011,Dwelling.type.Household.spaces.with.no.usual.residents.....2011,Adults.in.Employment...of.households.with.no.adults.in.employment..With.dependent.children.2011,Lone.Parents.Lone.parent.not.in.employment...2011,Economic.Activity.Unemployment.Rate.2011,Qualifications...No.qualifications.2011,Qualifications...Highest.level.of.qualification..Level.1.qualifications.2011,Qualifications...Highest.level.of.qualification..Level.2.qualifications.2011,Qualifications...Highest.level.of.qualification..Apprenticeship.2011,Qualifications...Highest.level.of.qualification..Other.qualifications.2011,Health.Day.to.day.activities.limited.a.lot.....2011,Health.Day.to.day.activities.limited.a.little.....2011,Health.Fair.health.....2011,Health.Bad.or.Very.Bad.health.....2011,Car.or.van.availability.No.cars.or.vans.in.household.....2011,Car.or.van.availability.1.car.or.van.in.household.....2011,Household.Income..2011.12.Mean.Annual.Household.Income.estimate....
1,0.03686537548031736,0.7096961237994256,-0.25739517028061387,-0.23629459340926734,0.9051829328429869,0.5643850308359825,0.6257257232062312,0.3227346899157242,0.3622804862120353,0.21661830514506242,-0.25241703604466015,-0.12124532953365563,0.078015360570164,-0.04439457261554626,0.018149852608471892,0.15738195391473853,0.4355250673348812,-0.1776132222046549,0.7395772665267123
0.03686537548031736,1,0.4553274550031088,-0.09332465170107818,-0.09995716298364805,0.11703948667794,0.19040648113691674,0.3252767160510638,0.26939196718913927,0.03624102251811969,-0.10216815090414152,-0.025684069895192455,-0.11523503965187973,0.4028866986051795,0.308661247350464,0.2876850877746012,0.4665530997030885,0.4465079736487394,-0.2854725784962489,0.41800583700334737
0.7096961237994256,0.4553274550031088,1,-0.3800661464525088,-0.3545557623371665,0.7856522568575502,0.5938093595842027,0.803923148555238,0.39931495237955167,0.1929951808976233,0.009108250794936922,-0.3741941966469356,0.011524548058961092,0.16339523159511257,0.069887942052922,0.0942724315800646,0.35068698657645225,0.7090257463204485,-0.4904960628298541,0.8242887344908465
-0.25739517028061387,-0.09332465170107818,-0.3800661464525088,1,0.2918063360967491,-0.16598388440891035,-0.06249004342397817,-0.18202923749102962,-0.6943798093113341,-0.4906277043866284,-0.5098787617500813,-0.3585251443946374,0.6687943751852178,-0.42198536585912555,-0.49393951173921774,-0.4749391632502728,-0.3526793058329309,0.289031768243036,-0.24088053942581047,-0.0732249250122154
-0.23629459340926734,-0.09995716298364805,-0.3545557623371665,0.2918063360967491,1,-0.28116683891269767,-0.20754361038142943,-0.23194537926320233,-0.20801915852818578,-0.24142495765633135,-0.11362472719920694,0.0702147666864153,0.052279469930093476,-0.07559900606713438,-0.08773618776860721,0.008216535561132315,-0.1705550093002554,-0.08407347573662177,0.031150682923187015,-0.21499380595004075
0.9051829328429869,0.11703948667794,0.7856522568575502,-0.16598388440891035,-0.28116683891269767,1,0.7321458279888787,0.7334684500463053,0.20969722618186248,0.24996239066727285,0.1031687280467416,-0.3610145193508055,0.06275499003198999,-0.061743447319552426,-0.10494837833023724,-0.08556710454802852,0.10145759150712304,0.6002940647005505,-0.33808426790042195,0.7992958364351594
0.5643850308359825,0.19040648113691674,0.5938093595842027,-0.06249004342397817,-0.20754361038142943,0.7321458279888787,1,0.5179670119907511,0.16489467016692358,0.1653165102935194,0.05970094695000567,-0.32271448581481155,0.069463508805983315,-0.007873187928276808,-0.009255184518796063,-0.026229599436000433,0.12388424535103564,0.5207588288276641,-0.28162931511220096,0.6566677144961416
0.6257257232062312,0.3252767160510638,0.803923148555238,-0.18202923749102962,-0.23194537926320233,0.7334684500463053,0.5179670119907511,1,0.13869935791800334,0.15504863580544526,0.040581884728536494,-0.38490411949599557,0.13594367727347373,-0.05969055502980105,-0.0630471216770285,-0.07029492862188445,0.13668420070676543,0.6746777465696611,-0.515628328312003,0.7081321151370059
0.3227346899157242,0.26939196718913927,0.39931495237955167,-0.6943798093113341,-0.20801915852818578,0.20969722618186248,0.16489467016692358,0.13869935791800334,1,0.4216155525613491,0.3829884321774389,0.24665947769059526,-0.6908639240071177,0.7564282150795513,0.6569753041188306,0.7058028174719465,0.684848393188675,-0.1154662127706638,0.22441218996592363,0.3915443219748881
0.3622804862120353,0.03624102251811969,0.1929951808976233,-0.4906277043866284,-0.24142495765633135,0.24996239066727285,0.1653165102935194,0.15504863580544526,0.4216155525613491,1,0.5545913307270562,0.31383638615934095,-0.5933630535200073,0.2189981708038799,0.30093032460476943,0.24997137019361995,0.17652107993896374,-0.2192160095876883,0.20852660948742527,0.20578894218842725
