Lower.Super.Output.Area,Mid.year.Population.Estimates.All.Ages.2011,Mid.year.Population.Estimates.Aged.0.15.2011,Mid.year.Population.Estimates.Aged.16.29.2011,Mid.year.Population.Estimates.Aged.30.44.2011,Mid.year.Population.Estimates.Aged.45.64.2011,Mid.year.Population.Estimates.Aged.65..2011,Ethnic.Group.White.....2011,Ethnic.Group.Mixed.multiple.ethnic.groups.....2011,Ethnic.Group.Asian.Asian.British.....2011,Ethnic.Group.Black.African.Caribbean.Black.British.....2011,Ethnic.Group.Other.ethnic.group.....2011,Ethnic.Group.BAME.....2011
E01000006,1731,401,416,475,304,135,32.7,3.4,50.6,10.4,2.9,67.3
E01000009,1798,317,524,449,328,180,23.8,3.5,57.1,12.9,2.8,76.2
E01000011,1655,363,520,405,277,90,21.2,1.7,65.5,8.8,2.9,78.8
E01000044,1812,460,385,466,340,161,43.5,6.6,26.7,22,1.3,56.5
E01000068,1605,334,443,303,355,170,34.6,2.1,53.8,7.7,1.8,65.4
E01000041,1687,460,295,427,355,150,66.9,3.9,6.7,21.3,1.2,33.1
E01000042,1803,517,430,420,288,148,54.3,5.3,18,20,2.4,45.7
E01000045,1659,456,340,387,334,142,59.1,6.1,8.9,24.4,1.6,40.9
E01000046,1785,502,293,449,381,160,73.6,3.5,6.1,15.1,1.6,26.4
E01000072,2006,547,446,437,355,221,66.4,4.6,8.7,19.1,1.1,33.6
E01000054,1731,459,292,409,371,200,71.2,2.9,6.3,18.8,0.7,28.8
E01000055,1564,388,319,361,355,141,69.7,4.1,9,16.7,0.5,30.3
E01000056,1594,447,296,399,289,163,67.6,3.9,7.7,19.8,1.1,32.4
E01000058,1864,491,366,476,373,158,59.9,5,10.3,23.3,1.5,40.1
E01000095,1584,468,288,435,276,117,51.1,3.6,11.9,31.8,1.6,48.9
E01000040,1579,379,307,379,337,177,57.4,4,17.8,18.3,2.4,42.6
E01000043,1370,355,257,321,256,181,52.6,3,27.7,14.7,2,47.4
E01000050,1678,451,369,374,294,190,38.5,5.2,35,18.1,3.2,61.5
E01000052,2039,530,400,522,385,202,46.5,4.9,25.5,21.5,1.6,53.5
E01000092,2694,751,567,691,457,228,41.5,4.7,21.2,29.7,3,58.5
E01000053,1493,371,280,367,316,159,60.5,4,7.9,27,0.5,39.5
E01000087,1348,341,259,307,312,129,65.6,4,5.1,24.5,0.7,34.4
E01000088,1840,467,349,414,365,245,53,3.2,12.5,30.5,0.8,47
E01000089,1676,459,346,332,394,145,59.5,5.5,5.8,28.1,1.1,40.5
E01000090,1594,457,302,340,354,141,51.1,3.7,13.1,29.2,3,48.9
E01000048,1795,655,356,464,247,73,37.1,5.9,13,41.5,2.5,62.9
E01000049,1832,653,330,475,256,118,37.5,6.8,14.7,37.3,3.7,62.5
E01000051,1945,657,414,530,294,50,35.6,5,16.9,37.7,4.8,64.4
E01033587,1665,483,398,543,194,47,43.3,4.4,21.4,28.3,2.5,56.7
E01033588,1636,524,322,504,210,76,38.3,6.2,18.9,33.5,3.2,61.7
E01000091,1722,549,336,376,305,156,49.8,3.8,14.1,30.4,1.9,50.2
E01000093,1564,442,353,384,276,109,51.1,5.8,10.2,31.4,1.5,48.9
E01000094,1338,402,267,478,165,26,34.2,6.7,15.3,42.6,1.1,65.8
E01000096,1903,658,424,434,288,99,43.8,4.4,9.6,40.4,1.8,56.2
E01000019,1410,378,264,305,326,137,55.7,5,21.1,15.1,3.1,44.3
E01000020,1843,475,329,471,350,218,65,3.8,11.3,18.7,1.1,35
E01000097,1679,409,275,390,307,298,68.6,4.4,13.5,11.9,1.6,31.4
E01000098,1752,468,345,407,372,160,60.9,5.4,17.6,15.1,1,39.1
E01000099,1736,451,329,406,359,191,70.3,4.8,11.4,12.5,0.9,29.7
E01032580,1361,360,334,331,239,97,47.9,3.6,31.1,15.2,2.2,52.1
